dataset,algorithm,n,repetitions,avg_us,median_us,avg_char_comparisons,avg_char_inspections
reversed,standard_mergesort,1800,7,1641.171,1619.100,15924.000,31848.000
reversed,ternary_string_quicksort,1800,7,728.700,663.900,15841.000,17244.000
reversed,lcp_string_mergesort,1800,7,38812.786,35435.900,7053.000,14106.000
reversed,msd_radix_sort,1800,7,6203.914,5279.700,0.000,8654.000
reversed,msd_radix_sort_with_switch,1800,7,1246.757,937.000,6625.000,11528.000
reversed,standard_quicksort,1900,7,6950.643,6690.400,234461.000,468922.000
reversed,standard_mergesort,1900,7,1612.329,1482.900,16713.000,33426.000
reversed,ternary_string_quicksort,1900,7,1056.057,854.000,16850.000,18307.000
reversed,lcp_string_mergesort,1900,7,49832.714,47776.800,7357.000,14714.000
reversed,msd_radix_sort,1900,7,5317.800,4933.100,0.000,9160.000
reversed,msd_radix_sort_with_switch,1900,7,1247.786,1071.400,6992.000,12171.000
reversed,standard_quicksort,2000,7,6673.057,6595.700,238324.000,476648.000
reversed,standard_mergesort,2000,7,1651.929,1581.300,17374.000,34748.000
reversed,ternary_string_quicksort,2000,7,854.929,759.300,17934.000,19477.000
reversed,lcp_string_mergesort,2000,7,55986.129,56096.200,7623.000,15246.000
reversed,msd_radix_sort,2000,7,5735.686,5780.800,0.000,9630.000
reversed,msd_radix_sort_with_switch,2000,7,1119.886,1137.400,7335.000,12782.000
reversed,standard_quicksort,2100,7,9858.986,9771.400,250630.000,501260.000
reversed,standard_mergesort,2100,7,1776.929,1706.400,18414.000,36828.000
reversed,ternary_string_quicksort,2100,7,845.914,775.700,18930.000,20538.000
reversed,lcp_string_mergesort,2100,7,71118.143,70230.200,8095.000,16190.000
reversed,msd_radix_sort,2100,7,8309.743,8192.100,0.000,10108.000
reversed,msd_radix_sort_with_switch,2100,7,1087.686,1071.500,7703.000,13421.000
reversed,standard_quicksort,2200,7,11820.529,11785.200,272172.000,544344.000
reversed,standard_mergesort,2200,7,2364.829,2345.000,19727.000,39454.000
